donor,year,poverty,displaced,conflict,gender,trade,multilateral,climate,disease,tieless,no_qpq,no_arms,targeting,needs,cooperation,public,api,rank
Australia,2013,0.000679314,0.100880487,0.038937884,0.031971933,0.10696274,0.143690603,0.014148299,0.051399035,0.347513048,0.011436822,0.023104805,0.733788512,4.255992427,4.860713207,7.059199898,16.17590553,16
Austria,2013,0.000254299,0.203044955,0.012046458,0.003864028,0.148629011,0.281282811,0.003896208,0.000328498,-1.057791419,0.244603149,0.210108381,0.206967574,2.477929178,4.345082299,2.383426083,9.206437561,24
Belgium,2013,0.000995011,0.177407439,0.048038429,0.02936075,0.164281368,0.216021782,0.010848495,0.024323669,0.619955901,-0.149328689,0.027326374,0.387202824,5.423472167,5.651433139,7.213064799,18.28797011,12
Canada,2013,0.000663859,0.26280801,0.084116112,0.006813568,0.163149692,0.290200192,0.049550117,0.078930857,-0.187720678,-0.14924338,-0.016692304,0.489064941,5.307073682,9.426246232,7.308738891,22.0420588,2
Czech Republic,2013,6.53E-05,0.204071216,0.043641237,0.011655447,0.156317114,0.168890659,0.002651032,0.000242453,-1.279101692,0.345855686,0.126347364,0.70401241,3.594619469,2.890649874,3.875171224,10.36044057,22
Denmark,2013,0.002049584,0.1795971,0.049719061,0.012771701,0.16293242,0.181726138,0.037850888,0.014777611,0.239128958,-0.150140487,0.012302887,0.559384351,5.89800064,6.511360288,7.605259818,20.01462075,8
Finland,2013,0.001086355,0.229218094,0.085663531,0.012090788,0.185781463,0.289028536,0.00969902,0.013104104,-0.32625536,-0.087057156,0.017924688,0.649899144,5.93379361,6.359085887,6.823932017,19.11681151,10
France,2013,0.000680598,0.18802062,0.001911615,0.002330042,0.224852282,0.199872475,0.009754178,0.039487502,0.64670479,-0.055889715,0.297989533,0.605091343,2.45188719,6.134290733,6.327179439,14.91335736,17
Germany,2013,0.000483347,0.320351527,0.034549813,0.006773477,0.300479663,0.151604623,0.008309441,0.026513955,0.810481681,-0.034973298,0.37041632,0.579812127,4.57962689,5.853936357,6.135135516,16.56869876,15
Greece,2013,6.01E-06,0.085097908,0.002435269,0,0.001656195,0.065378341,0.002455586,0,-2.161092249,0.450577119,0.584025272,0.101893149,0.42307681,0.21084665,0,0.63392346,28
Iceland,2013,0.000933997,0.183104716,0.039474582,0.018861581,0.356280796,0.157547981,0.022151456,0.001376311,0.817707114,-0.039495762,-0.054192371,0.722425104,4.761463534,5.85610186,8.996437488,19.61400288,9
